THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | sport2 | S3 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/4 (0.0) | 39.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S3 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.78 | 34.8 (6.4) [yes] | 5.3 | 0.0 | 3/14 (0.0) | 38.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S4 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.18 | 31.8 (2.8) [yes] | 15.1 | 0.0 | 4/5 (0.0) | 38.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S4 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 10.86 | 29.9 (8.5) [yes] | 54.7 | 3.5 | 24/46 (0.0) | 34.9 | 0.010 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S4 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 10.94 | 30.2 (9.3) [yes] | 46.1 | 4.8 | 27/76 (0.0) | 34.1 | 0.586 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S4 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.17 | 33.8 (0.8) [yes] | 7.9 | 0.0 | 4/5 (0.0) | 37.3 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S4 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 9.77 | 30.5 (9.2) [yes] | 44.7 | 3.7 | 24/43 (0.0) | 34.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S5 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.34 | 30.9 (1.9) [yes] | 16.2 | 0.0 | 3/4 (0.0) | 32.4 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S5 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 12.02 | 30.4 (10.3) [yes] | 55.4 | 4.7 | 15/30 (0.0) | 3.4 | 0.023 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S5 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 14.26 | 30.2 (11.1) [yes] | 64.5 | 5.5 | 15/29 (0.0) | 3.6 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S5 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 32.2 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S5 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 14.06 | 30.2 (11.0) [yes] | 64.5 | 5.3 | 15/27 (0.0) | 3.6 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S6 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.17 | 31.8 (2.9) [yes] | 15.0 | 0.0 | 3/5 (0.0) | 42.9 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S6 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 0.00 | - (-) [no] | 0.0 | 0.0 | 3/5 (0.0) | 67.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S6 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 3/4 (0.0) | 87.8 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S6 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/4 (0.0) | 42.5 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S6 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 3/4 (0.0) | 68.6 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
