grid,cell,record_set,cold64,g50,g50_in_range,yield_,cls,fe_med,fe_p90,dyn_solved,commit1_s,commit1_u,cw1_u,cw64_u,cells_u1,ent1_s,mono,flips_w,syn_osc,dyn_fe_med,dyn_fe_p90,e3_committed,e3_wrong,e3_contra,cal_cold,cal_stalled,cal_top5,cal_conf,cal_ent1,cal_cw
finalA/A8@vsel,dec,full:full_vsel_t64 n100000,0.96998,-0.18010623894863187,False,0.9649891357678559,DECIMATING,1.0,6.0,0.953125,0.9526326538320008,0.9096930733400633,0.6001262708256669,0.5667909696353101,0.3329281187746023,0.017480639511849888,0.7704918032786885,4.837759142171767,18.333333333333332,1.0,7.0,0.8926455279465215,0.6368582304716759,1.0,0.978515625,11,0.6181818181818182,1.0,0.015224523498626966,0.4775501439326002
frontier/cgar@released,trm,full:full_vsel_t64 n422786,0.9170549639770474,10.741381552388487,False,0.9032597004360461,DECIMATING,1.0,9.0,0.9375,0.9541211507213505,0.9273618841423141,0.5801885359796246,0.5391529519978565,0.3756161839358031,0.016046047841578957,0.6583333333333333,3.5948561434373056,15.875,1.0,9.0,0.8841347521686043,0.6093709210825113,1.0,0.9140625,44,0.540909090909091,1.0,0.015528389063469332,0.47755808129500094
frontier/eqr@released,trm,full:full_vsel_t64 n422786,0.9315232765512577,9.374175352619458,False,0.9203669755211401,DECIMATING,2.0,11.0,0.9296875,0.9680424228495708,0.9524431616515519,0.6618762951349484,0.5353671213759531,0.3101792121144027,0.011627715138104113,0.5714285714285714,3.966678632330623,20.88888888888889,1.0,10.400000000000006,0.8981036519334461,0.5972743164286164,1.0,0.9296875,36,0.5500000000000002,1.0,0.011802981024866665,0.483117983008398
frontier/trmpub60k@released,trm,full:sub20k_t64 n20000,0.79445,19.743645916968802,True,0.7601450122792656,MIXED,1.0,8.0,0.78125,0.9885837681404452,0.9829664282276032,0.5786545214297064,0.5748063228060117,0.41186894459208323,0.0036571984242427624,0.67,6.782172489416813,26.142857142857142,1.0,10.200000000000017,0.9422172808702939,0.6071996239037042,1.0,0.833984375,85,0.43058823529411766,1.0,0.0038971832273971088,0.551559572488745
frontier/trmpub@released,trm,full:full_vsel_t64 n422786,0.8344860047399867,18.00920936664467,True,0.8067710191091608,MIXED,1.0,6.0,0.8046875,0.9832395952763519,0.9728624977512055,0.6124869456581906,0.5771314607353858,0.3687495042146985,0.006140006515408296,0.7475728155339806,5.9973497648507035,27.04,1.0,4.799999999999997,0.9154985830763616,0.6285799460178655,1.0,0.86328125,70,0.46285714285714286,1.0,0.0066978548762981,0.5522509531989763
champ/C0@16k-vsel,dec,full:full_vsel_t64 n100000,0.98416,-9.932067028367157,False,0.9815424873250626,DECIMATING,1.0,7.0,0.984375,0.9555338031163487,0.9818181818181818,0.7443573667711598,0.5576802507836991,0.24655172413793103,0.015452297048503502,0.5714285714285714,4.611128526645768,21.0,1.0,9.5,0.9100313479623825,0.6155015197568389,1.0,0.990234375,5,0.4800000000000001,1.0,0.015117250938768166,0.4608222576643629
champ/C0@30k-final,dec,full:full_vsel_t64 n100000,0.98416,-9.932067028367157,False,0.9815424873250626,DECIMATING,1.0,7.0,0.96875,0.9620187955107753,0.9238012306977824,0.5651544177406247,0.5414692906072216,0.3722831765935214,0.013039282361179037,0.7016129032258065,5.8199640078950425,22.75,1.0,7.0,0.8895535817949611,0.6094819466248037,1.0,0.990234375,5,0.4800000000000001,1.0,0.015117250938768166,0.4608222576643629
champ/C1@28k-vsel,dec,full:full_vsel_t64 n100000,0.97461,-9.794997826275242,False,0.9703745239597206,DECIMATING,1.0,6.0,0.96875,0.946167146088652,0.915885870196215,0.5741437362127018,0.5265383722280274,0.3684778822709857,0.019303669180905945,0.6209677419354839,5.038232903750145,18.75,1.0,8.0,0.9141385115523046,0.5752883329224876,1.0,0.98046875,10,0.62,1.0,0.018236340339859883,0.49486354775828456
champ/C1@50k-final,dec,full:full_vsel_t64 n100000,0.97461,-9.794997826275242,False,0.9703745239597206,DECIMATING,1.0,6.0,0.796875,0.9578965646068281,0.9240653210084753,0.5269304228400171,0.5868142447497395,0.4195261143521626,0.014396419943017717,0.5882352941176471,6.7215116514868125,24.615384615384617,1.0,5.0,0.937092053237582,0.6262503335022576,1.0,0.98046875,10,0.62,1.0,0.018236340339859883,0.49486354775828456
champ/C2@24k-vsel,dec,full:full_vsel_t64 n100000,0.98675,-4.642439256974626,False,0.9845447536272517,DECIMATING,1.0,6.0,0.9921875,0.9496593252540118,0.9310344827586207,0.6379310344827587,0.5,0.3103448275862069,0.018034014194008016,0.6456692913385826,6.224137931034482,21.0,1.0,6.0,0.8448275862068966,0.5918367346938775,1.0,0.986328125,7,0.6,1.0,0.016760596268443024,0.4668603326498063
