THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260909; descriptive; 75 rows; 4s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | champ | C0 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 94.76 | 10.4 (21.9) [no] | 99.9 | 93.9 | 1/5 (36.7) | 32.6 | 0.014 | 94.8 | - | - | 0/0 | -/0.0 | - | - | - / 94.8 | -
full | champ | C1 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 98.42 | -98.6 (131.6) [no] | 99.9 | 98.2 | 1/6 (20.1) | 28.3 | 0.040 | 98.4 | - | - | 0/0 | -/0.0 | - | - | - / 98.4 | -
full | champ | C2 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 95.17 | 10.0 (21.9) [no] | 100.0 | 94.4 | 1/5 (31.2) | 33.1 | 0.004 | 95.2 | - | - | 0/0 | -/0.0 | - | - | - / 95.2 | -
full | champ | C2 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.63 | 9.8 (21.4) [no] | 100.0 | 94.9 | 1/5 (26.6) | 34.7 | 0.000 | 95.6 | - | - | 0/0 | -/0.0 | - | - | - / 95.6 | -
full | champ | C2 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 93.45 | 12.0 (21.3) [no] | 100.0 | 92.4 | 1/5 (13.1) | 35.3 | 0.000 | 93.5 | - | - | 0/0 | -/0.0 | - | - | - / 93.5 | -
full | champ | C2 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.67 | -4.6 (30.1) [no] | 100.0 | 98.5 | 1/6 (25.8) | 32.6 | 0.002 | 98.7 | - | - | 0/0 | -/0.0 | - | - | - / 98.7 | -
full | champ | C2 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 99.00 | -5.5 (29.1) [no] | 100.0 | 98.8 | 1/6 (25.8) | 31.9 | 0.005 | 99.0 | - | - | 0/0 | -/0.0 | - | - | - / 99.0 | -
full | champ | C2 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 99.34 | -7.3 (28.2) [no] | 100.0 | 99.2 | 1/6 (25.5) | 32.0 | 0.000 | 99.3 | - | - | 0/0 | -/0.0 | - | - | - / 99.3 | -
full | champ | C3 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 84.63 | 17.9 (18.0) [yes] | 99.9 | 82.0 | 1/4 (39.9) | 22.3 | 0.010 | 84.6 | - | - | 0/0 | -/0.0 | - | - | - / 84.6 | -
full | champ | C3 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 94.78 | 10.1 (22.3) [no] | 100.0 | 93.9 | 1/5 (30.0) | 33.6 | 0.014 | 94.8 | - | - | 0/0 | -/0.0 | - | - | - / 94.8 | -
full | champ | C3 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 93.54 | 11.1 (22.7) [no] | 99.9 | 92.5 | 1/6 (29.7) | 31.3 | 0.006 | 93.5 | - | - | 0/0 | -/0.0 | - | - | - / 93.5 | -
full | champ | C3 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.01 | -3.8 (32.4) [no] | 99.9 | 97.7 | 1/6 (29.0) | 31.1 | 0.017 | 98.0 | - | - | 0/0 | -/0.0 | - | - | - / 98.0 | -
full | champ | C3 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 98.61 | -7.6 (33.6) [no] | 99.8 | 98.4 | 1/7 (28.8) | 30.2 | 0.015 | 98.6 | - | - | 0/0 | -/0.0 | - | - | - / 98.6 | -
full | champ | C3 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 98.94 | -22.0 (45.5) [no] | 100.0 | 98.8 | 1/7 (28.2) | 30.9 | 0.020 | 98.9 | - | - | 0/0 | -/0.0 | - | - | - / 98.9 | -
full | champ | C4 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 96.41 | -2.3 (36.5) [no] | 99.7 | 95.9 | 1/4 (42.2) | 34.1 | 0.092 | 96.4 | - | - | 0/0 | -/0.0 | - | - | - / 96.4 | -
full | champ | C4 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 96.70 | 2.7 (28.9) [no] | 100.0 | 96.1 | 1/4 (30.8) | 36.4 | 0.000 | 96.7 | - | - | 0/0 | -/0.0 | - | - | - / 96.7 | -
full | champ | C4 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 93.92 | 11.2 (21.9) [no] | 99.6 | 93.0 | 1/5 (12.7) | 31.3 | 0.024 | 93.9 | - | - | 0/0 | -/0.0 | - | - | - / 93.9 | -
full | champ | C4 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.90 | -101.9 (124.2) [no] | 100.0 | 98.7 | 1/5 (30.2) | 34.0 | 0.001 | 98.9 | - | - | 0/0 | -/0.0 | - | - | - / 98.9 | -
full | champ | C4 |  | sub20k_t128 | scan20k | 128 | 1 | dec | True | 20000 | 99.15 | -82.7 (99.6) [no] | 100.0 | 99.0 | 1/5 (30.0) | 33.7 | 0.000 | 99.2 | - | - | 0/0 | -/0.0 | - | - | - / 99.2 | -
full | champ | C4 |  | sub5k_t256 | sub5000 | 256 | 1 | dec | True | 5000 | 99.32 | - (-) [no] | 100.0 | 99.2 | 1/5 (28.9) | 31.6 | 0.020 | 99.3 | - | - | 0/0 | -/0.0 | - | - | - / 99.3 | -
full | champ | C5 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 96.03 | 7.0 (24.7) [no] | 100.0 | 95.4 | 1/6 (21.0) | 34.5 | 0.014 | 96.0 | - | - | 0/0 | -/0.0 | - | - | - / 96.0 | -
