kind,campaign,arm,suffix,eval,set,t,k,cell,ema,n,cold,g50,width,g50_in_range,p_cold_r0,yield,fe_med,fe_p90,fe_step1,viol_fail,valid_wrong,givens_kept,rho,b1,r_med,k50,k90,rescue_1,rescue_any,auc,spurious,t1r,t1r_over_verified,ckpt
scan,champ,C6,,,sub5000,64,32,dec,True,5000,0.9874,-23.64032862953373,49.04024455248795,False,1.0,0.9852906840999299,1.0,6.0,0.2941057322260482,32.19047619047619,0.0002,0.9999916666666666,0.9974,0.9866,1.0,0,0,0.31746031746031744,0.7936507936507936,0.9990968856455662,0.0004597701149425287,0.9966,0.9991979145779026,runs/pretrainchamp_C6/ckpt_028000.pkl
screen,champ,C0,s010000,,strat512,16,256,dec,True,512,0.9453125,7.292714535906441,27.300885964001296,False,1.0,0.9357798165137615,1.0,5.0,0.14256198347107438,33.035714285714285,0.0,1.0,0.998046875,0.94140625,1.0,0,0,0.5357142857142857,0.9642857142857143,0.9917235124927498,0.0,0.998046875,1.0,runs/pretrainchamp_C0/ckpt_010000.pkl
screen,champ,C0,s020000,,strat512,16,256,dec,True,512,0.951171875,10.59070764889316,21.19889571294565,False,1.0,0.9426605504587156,1.0,5.400000000000034,0.3059548254620123,34.16,0.0,1.0,0.998046875,0.962890625,1.0,0,0,0.6,0.96,0.9920997386823165,0.0,0.998046875,1.0,runs/pretrainchamp_C0/ckpt_020000.pkl
screen,champ,C0,vb,,strat512,16,256,dec,True,512,0.94921875,13.006054438031144,17.77616320621277,False,1.0,0.9403669724770642,1.0,4.0,0.26954732510288065,35.11538461538461,0.0,1.0,0.99609375,0.947265625,1.0,0,0,0.46153846153846156,0.9230769230769231,0.9927811177844788,0.0,0.99609375,1.0,runs/pretrainchamp_C0/ckpt_016000.pkl
screen,champ,C1,s010000,,strat512,16,256,dec,True,512,0.9453125,7.292714535906445,27.300885964001296,False,1.0,0.9357798165137615,1.0,6.0,0.11776859504132231,33.5,0.0,1.0,0.99609375,0.9375,1.0,0,0,0.4642857142857143,0.9285714285714286,0.9897954404046068,0.0,0.99609375,1.0,runs/pretrainchamp_C1/ckpt_010000.pkl
screen,champ,C1,s020000,,strat512,16,256,dec,True,512,0.955078125,8.5089086445808,23.631534870189643,False,1.0,0.9472477064220184,1.0,5.0,0.1656441717791411,34.30434782608695,0.0,1.0,0.994140625,0.9453125,1.0,0,0,0.4782608695652174,0.8695652173913043,0.9923081132586576,0.0,0.994140625,1.0,runs/pretrainchamp_C1/ckpt_020000.pkl
screen,champ,C1,vb,,strat512,16,256,dec,True,512,0.951171875,11.72070992061294,19.480814487498623,False,1.0,0.9426605504587156,1.0,3.0,0.21765913757700206,33.08,0.0,1.0,0.998046875,0.935546875,1.0,0,0,0.28,0.96,0.9929513866757441,0.00013477088948787063,0.99609375,0.9980430528375733,runs/pretrainchamp_C1/ckpt_028000.pkl
screen,champ,C2,s010000,,strat512,16,256,dec,True,512,0.9296875,14.654987047202725,17.388237450453133,False,1.0,0.9174311926605505,1.0,6.0,0.09033613445378151,34.47222222222222,0.0,1.0,0.99609375,0.9375,1.0,0,0,0.3611111111111111,0.9444444444444444,0.9905740974595248,0.00032772558444395895,0.98828125,0.9921568627450981,runs/pretrainchamp_C2/ckpt_010000.pkl
screen,champ,C2,s020000,,strat512,16,256,dec,True,512,0.94921875,13.38436278859961,17.187338796414952,False,1.0,0.9403669724770642,1.0,5.0,0.10493827160493827,34.88461538461539,0.0,1.0,0.998046875,0.9453125,1.0,0,0,0.5769230769230769,0.9615384615384616,0.9935084011249659,0.0,0.998046875,1.0,runs/pretrainchamp_C2/ckpt_020000.pkl
screen,champ,C2,vb,,strat512,16,256,dec,True,512,0.94140625,13.2159612579667,18.454278735777997,False,1.0,0.9311926605504587,1.0,5.0,0.2883817427385892,35.233333333333334,0.0,1.0,0.998046875,0.9609375,1.0,0,0,0.6333333333333333,0.9666666666666667,0.9920332926205716,0.0,0.998046875,1.0,runs/pretrainchamp_C2/ckpt_024000.pkl
