== EVAL ARTIFACTS on disk: 694 ==
kind | arm | sub | n | t | k | subset | cell | ema | init | recs | ckpt
full | pfinalAA5 | full_vsel_t16_alt | 50000 | 16 | 0 | 50000 | dec | False | void | True | runs/pretrainfinalA_A5/ckpt_028000.pkl
full | pfinalAA5 | full_vsel_t64 | 100000 | 64 | 0 | 100000 | dec | True | void | True | runs/pretrainfinalA_A5/ckpt_028000.pkl
full | pfinalAA7 | full_final_t16 | 50000 | 16 | 0 | 50000 | dec | True | void | True | runs/pretrainfinalA_A7/ckpt_latest.pkl
full | pfinalAA7 | full_vsel_t16 | 422786 | 16 | 0 | - | dec | True | void | True | runs/pretrainfinalA_A7/ckpt_022000.pkl
full | pfinalAA7 | full_vsel_t16_alt | 50000 | 16 | 0 | 50000 | dec | False | void | True | runs/pretrainfinalA_A7/ckpt_022000.pkl
full | pfinalAA7 | full_vsel_t64 | 100000 | 64 | 0 | 100000 | dec | True | void | True | runs/pretrainfinalA_A7/ckpt_022000.pkl
full | pfinalAA8 | full_final_t16 | 50000 | 16 | 0 | 50000 | dec | True | void | True | runs/pretrainfinalA_A8/ckpt_latest.pkl
full | pfinalAA8 | full_vsel_t16 | 422786 | 16 | 0 | - | dec | True | void | True | runs/pretrainfinalA_A8/ckpt_012000.pkl
full | pfinalAA8 | full_vsel_t16_alt | 50000 | 16 | 0 | 50000 | dec | False | void | True | runs/pretrainfinalA_A8/ckpt_012000.pkl
full | pfinalAA8 | full_vsel_t64 | 100000 | 64 | 0 | 100000 | dec | True | void | True | runs/pretrainfinalA_A8/ckpt_012000.pkl
full | psport2S0 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S0/ckpt_latest.pkl
full | psport2S0 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S0/ckpt_latest.pkl
full | psport2S0 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S0/ckpt_latest.pkl
full | psport2S0 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S0/ckpt_latest.pkl
full | psport2S0 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S0/ckpt_latest.pkl
full | psport2S1 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S1/ckpt_latest.pkl
full | psport2S1 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S1/ckpt_latest.pkl
full | psport2S1 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S1/ckpt_latest.pkl
full | psport2S1 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S1/ckpt_latest.pkl
full | psport2S1 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S1/ckpt_latest.pkl
full | psport2S2 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S2/ckpt_latest.pkl
full | psport2S2 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S2/ckpt_latest.pkl
full | psport2S2 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S2/ckpt_latest.pkl
full | psport2S2 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S2/ckpt_latest.pkl
full | psport2S2 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S2/ckpt_latest.pkl
full | psport2S3 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S3/ckpt_latest.pkl
full | psport2S3 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S3/ckpt_latest.pkl
full | psport2S3 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S3/ckpt_latest.pkl
full | psport2S3 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S3/ckpt_latest.pkl
full | psport2S3 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S3/ckpt_latest.pkl
full | psport2S4 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S4/ckpt_latest.pkl
full | psport2S4 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S4/ckpt_latest.pkl
full | psport2S4 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S4/ckpt_latest.pkl
full | psport2S4 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S4/ckpt_latest.pkl
full | psport2S4 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S4/ckpt_latest.pkl
full | psport2S5 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S5/ckpt_latest.pkl
full | psport2S5 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S5/ckpt_latest.pkl
full | psport2S5 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S5/ckpt_latest.pkl
full | psport2S5 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S5/ckpt_latest.pkl
full | psport2S5 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S5/ckpt_latest.pkl
full | psport2S6 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S6/ckpt_latest.pkl
full | psport2S6 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S6/ckpt_latest.pkl
full | psport2S6 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S6/ckpt_latest.pkl
full | psport2S6 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S6/ckpt_latest.pkl
full | psport2S6 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S6/ckpt_latest.pkl
full | psport2S7 | full_t6 | 422786 | 6 | 0 | - | rg | - | - | True | runs/pretrainsport2_S7/ckpt_latest.pkl
full | psport2S7 | full_t64 | 422786 | 64 | 0 | - | rg | - | - | True | runs/pretrainsport2_S7/ckpt_latest.pkl
full | psport2S7 | strat_t256 | 512 | 256 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S7/ckpt_latest.pkl
full | psport2S7 | strat_t6 | 512 | 6 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S7/ckpt_latest.pkl
full | psport2S7 | strat_t64 | 512 | 64 | 16 | 512 | rg | - | - | True | runs/pretrainsport2_S7/ckpt_latest.pkl
full | psport2w2W1 | full_t6 | 422786 | 6 | 0 | - | rg | - | void | True | runs/pretrainsport2w2_W1/ckpt_latest.pkl
